NAME	TEAM1516	Height	Weight	OverallRating	crossing	finishing	heading_accuracy	short_passing	volleys	dribbling	curve	free_kick_accuracy	long_passing	ball_control	acceleration	sprint_speed	agility	reactions	balance	shot_power	jumping	stamina	strength	long_shots	aggression	interceptions	positioning	vision	penalties	marking	standing_tackle	sliding_tackle	GKdiving	GKhandling	GKkicking	GKpositioning	GKreflexes
Ivan_Cuellar	9869	187.96	181	71	19	19	18	22	16	18	16	18	33	23	63	58	64	64	58	25	67	50	70	19	52	35	29	38	36	19	18	15	71	74	69	67	75
Gabi	9906	180.34	163	78	66	64	54	83	66	68	77	75	81	79	70	70	78	79	74	78	60	81	68	74	73	74	71	82	79	64	75	70	7	13	21	8	12
Manuel_Pablo	9783	175.26	176	71	78	42	49	69	47	48	65	48	70	71	60	63	54	74	68	55	41	57	75	62	73	78	50	61	55	73	76	71	13	8	25	13	14
Juan_Carlos_Valeron	8306	185.42	168	76	74	65	65	86	65	79	72	69	80	83	54	50	59	78	69	52	41	39	43	67	33	40	70	90	70	18	19	17	6	10	30	10	9
Gorka_Iraizoz_Moreno	8315	190.5	196	77	16	18	17	28	17	16	14	17	33	24	47	52	49	74	58	29	58	48	80	17	51	33	30	34	25	18	16	14	71	81	75	82	75
Jesus_Gamez	9906	182.88	170	73	72	34	61	62	42	58	57	48	60	65	66	74	62	70	60	72	74	83	78	50	79	75	47	54	51	74	77	78	8	11	17	15	11
Fernando_Navarro	9783	175.26	154	75	72	35	67	69	56	65	72	66	72	72	70	71	65	73	68	66	71	78	74	57	80	75	55	61	43	80	77	79	6	9	28	14	9
Jonas_Gutierrez	9783	182.88	161	75	72	62	64	77	62	81	66	69	72	77	73	73	76	72	65	77	61	81	75	70	54	66	68	73	69	61	62	60	6	10	26	11	12
Ivan_Ramis	8372	187.96	181	73	54	51	71	67	39	55	74	68	65	65	58	56	55	69	60	78	73	68	76	63	74	69	47	56	53	74	77	75	8	16	20	10	12
Raul_Garcia	8315	182.88	179	78	70	69	79	85	56	74	75	65	77	80	67	71	61	80	66	82	69	78	79	73	74	70	81	82	75	56	70	63	13	16	20	16	15
Asier_Riesgo	8372	185.42	168	72	22	16	16	18	15	16	15	17	33	30	58	57	51	62	60	22	60	59	70	16	50	34	31	42	28	16	16	17	73	73	64	74	71
Ion_Ansotegi	8372	193.04	185	72	45	31	75	59	31	42	50	55	55	55	41	47	40	65	46	60	49	63	86	37	76	71	45	51	45	76	77	66	12	13	22	16	10
Mikel_Gonzalez	8560	190.5	174	73	53	36	72	61	40	46	49	50	55	58	63	64	55	68	57	61	77	70	80	36	79	68	49	59	54	75	74	80	9	17	20	12	15
Javier_Garrido	8306	177.8	168	73	77	49	69	73	53	65	72	75	71	72	73	71	67	70	71	71	63	74	69	68	73	74	68	60	60	72	76	76	8	14	25	13	11
Xabier_Prieto	8560	185.42	168	77	83	70	65	81	59	80	80	72	79	80	64	67	64	79	64	73	57	66	62	76	62	56	76	82	82	22	28	24	10	8	17	16	9
Daniel_Alves	8634	172.72	154	84	83	57	70	82	68	81	77	77	80	84	87	90	86	86	80	86	77	86	69	78	85	81	71	71	73	75	83	86	6	13	28	10	10
Adriano	8634	172.72	161	77	81	60	66	78	52	80	80	70	76	80	79	77	79	79	77	82	73	78	68	82	71	75	77	68	63	70	68	77	11	15	24	15	14
Ze_Castro	8370	182.88	181	73	47	46	70	75	47	54	46	56	68	70	64	64	64	65	59	42	71	68	70	56	63	78	49	59	53	73	77	79	10	14	25	10	14
Daniele_Bonera	10205	182.88	163	77	60	30	74	65	27	49	34	40	65	60	60	61	57	73	65	65	76	62	77	53	81	82	40	53	57	80	82	78	5	10	19	10	9
Antonio_Barragan	10267	185.42	183	72	71	44	66	66	43	61	61	53	66	69	75	75	65	70	64	63	72	80	73	54	72	74	58	52	59	73	73	74	5	10	23	10	12
Patrick_Ebert	8370	175.26	159	72	76	59	58	72	57	71	72	76	73	74	75	74	75	71	74	75	60	70	61	67	68	58	65	71	60	26	48	33	12	7	16	14	8
Claudio_Bravo	8634	182.88	176	78	18	16	20	29	19	18	32	36	43	25	56	54	62	72	63	34	80	54	69	18	40	29	23	32	35	16	17	17	81	73	82	75	81
Joan_Verdu	8581	177.8	157	77	70	69	54	82	63	77	79	78	80	78	69	65	71	69	72	75	56	60	59	74	60	52	77	83	70	41	47	40	12	11	23	15	10
Alvaro_Arbeloa	8633	182.88	174	75	72	49	64	72	55	57	55	47	64	65	67	73	62	74	63	66	67	76	74	50	75	78	65	62	55	79	79	81	10	14	22	9	14
Juan_Rodriguez	8305	185.42	176	73	65	63	73	80	53	68	66	61	67	74	59	58	62	75	63	81	70	73	78	67	72	73	72	78	59	57	69	60	10	13	28	14	11
Duda	9864	175.26	157	74	86	69	53	78	58	73	90	85	84	74	62	67	67	64	76	84	58	57	63	79	65	47	70	76	70	58	58	57	12	12	19	7	14
Alberto_Lopo	9783	185.42	179	75	45	56	78	67	27	31	30	47	65	62	56	60	47	67	59	52	77	65	83	47	77	70	52	60	65	75	79	74	8	11	24	10	16
Alexis	8305	182.88	165	76	44	22	81	72	39	48	48	45	63	66	62	69	65	67	60	64	79	70	81	24	78	74	57	58	37	76	75	79	14	10	23	12	14
Cani	9783	180.34	165	76	75	69	51	76	66	80	79	67	70	81	76	77	77	71	69	72	66	70	61	75	61	50	77	75	70	47	46	38	8	13	19	16	8
Gerard_Pique	8634	193.04	187	84	54	54	83	81	57	57	44	44	79	75	64	69	58	80	57	53	77	72	83	43	70	84	58	71	70	85	87	87	9	14	30	17	12
Juanfran_Garcia	8581	182.88	172	73	73	41	58	61	46	60	60	47	64	69	66	70	61	75	59	60	68	62	79	46	81	81	61	56	49	74	76	74	8	7	18	11	7
Roberto_Soldado	10205	180.34	163	81	64	84	82	69	82	77	74	65	57	80	75	77	73	82	73	82	82	74	73	76	72	46	86	71	82	34	38	37	12	13	17	10	7
Momo	8306	180.34	154	69	72	63	54	67	60	73	78	72	61	70	70	71	72	67	60	67	57	62	60	64	50	40	67	72	66	23	25	21	9	13	24	15	10
Tono	8370	182.88	176	74	17	18	18	19	19	17	14	17	37	25	56	58	57	65	49	23	71	52	74	16	56	40	19	42	36	16	17	15	78	68	71	77	77
Pedro_Lopez	8581	175.26	159	72	75	47	57	69	49	69	68	55	67	73	76	76	72	75	73	78	70	76	68	67	70	73	60	59	58	70	74	74	9	12	25	12	14
Oriol_Riera	9783	182.88	172	68	34	68	65	49	63	58	55	49	37	61	69	73	62	77	63	73	74	76	73	57	69	40	74	54	59	19	19	17	11	12	10	11	10
Paco_Montanes	8558	172.72	154	72	63	61	49	69	55	78	72	59	62	73	86	83	82	71	79	71	71	70	61	63	48	37	75	65	59	36	37	20	11	14	9	11	12
Ruben	8581	187.96	176	70	16	18	16	25	14	18	14	17	29	25	47	53	64	64	57	29	73	49	68	16	50	29	20	36	30	15	17	14	76	66	63	66	77
Joaquin	8603	177.8	165	80	87	69	52	79	70	86	88	75	75	85	78	79	78	72	74	74	55	62	60	75	53	40	78	79	75	24	30	27	9	15	14	12	13
Ikechukwu_Uche	9864	177.8	157	75	59	75	71	56	74	80	53	43	42	77	84	84	86	70	71	80	87	70	75	69	49	37	74	62	67	24	21	29	12	17	19	11	11
Francisco_Molinero	8603	175.26	159	68	66	40	63	65	25	52	61	41	58	73	77	79	78	72	72	68	74	83	68	58	74	62	60	60	54	57	63	68	7	9	14	12	12
Jose_Angel_Crespo	8370	182.88	159	67	67	30	57	63	36	54	58	25	62	61	70	67	64	68	63	49	70	78	69	41	71	66	54	57	45	65	69	67	11	7	18	7	13
Nicolas_Pareja	8302	180.34	163	76	54	50	77	70	47	59	61	74	74	62	68	67	61	79	66	75	79	73	73	64	80	74	47	62	69	75	78	79	13	14	25	14	13
Juanfran	9906	180.34	159	74	77	58	52	68	54	76	75	59	63	74	76	81	74	75	64	67	62	79	67	57	71	69	67	68	64	58	61	57	10	15	21	15	9
Mariano_Damian_Barbosa	10205	187.96	165	70	17	16	18	35	14	18	13	15	40	24	63	57	66	72	64	32	74	48	65	16	48	32	27	30	33	17	18	13	72	68	74	65	76
Verza	8581	180.34	172	70	66	57	50	78	56	56	78	74	78	67	57	56	59	65	62	71	50	80	72	72	71	67	60	73	73	55	66	57	12	12	24	17	9
Gorka_Elustondo	8315	182.88	174	71	62	57	58	78	42	61	78	73	79	71	62	68	67	70	66	62	68	70	69	61	69	64	66	74	63	56	62	57	11	15	25	15	12
Angel_Lafita	8305	187.96	161	75	78	64	63	72	63	78	74	59	66	79	71	75	71	79	60	72	60	70	65	67	67	50	78	74	61	25	33	35	9	9	25	15	15
Giuseppe_Rossi	8581	172.72	159	79	66	82	61	75	76	80	78	74	64	83	82	79	82	78	78	78	60	62	53	81	41	33	81	75	79	21	26	20	5	11	18	12	7
Javier_Mascherano	8634	175.26	161	81	62	50	60	78	57	59	61	48	74	79	68	68	68	83	74	70	67	84	73	58	87	88	60	71	67	80	87	85	6	12	24	8	8
Jose_Antonio_Reyes	8302	175.26	159	76	77	69	57	73	68	80	82	73	73	80	78	73	76	72	73	70	54	59	57	74	47	33	69	76	72	21	23	20	12	11	23	13	15
Arthur_Boka	9864	165.1	143	71	73	38	56	71	50	72	71	59	64	72	74	74	80	71	79	72	64	73	63	56	75	69	58	60	51	70	74	73	12	12	23	11	11
Henok_Goitom	8305	187.96	190	68	53	66	71	67	69	68	63	50	51	71	61	68	63	67	56	73	62	63	82	57	51	35	69	67	64	33	34	21	14	10	20	7	11
Fernando_Damian_Tissone	9864	180.34	170	73	61	60	54	75	73	66	67	68	73	74	70	69	66	76	66	78	76	79	76	66	74	74	74	74	68	59	72	65	8	8	25	14	14
Michael_Krohn-Dehli	8302	170.18	150	74	72	61	50	75	54	76	68	72	70	77	74	73	80	72	76	76	61	75	61	68	65	61	76	74	72	30	44	35	9	9	22	16	12
Stipe_Pletikosa	9783	193.04	183	75	18	14	14	14	11	15	20	14	36	32	65	51	53	73	59	23	76	41	74	14	57	32	16	41	25	15	14	16	76	74	75	78	75
Juan_Vargas	8603	180.34	170	74	80	66	57	74	79	74	80	72	76	75	75	76	72	67	70	82	65	74	76	80	77	68	67	73	69	68	74	74	10	9	23	11	15
Arda_Turan	8634	177.8	168	83	81	73	64	85	75	87	78	56	78	87	78	73	86	80	83	71	72	73	66	73	72	51	81	87	75	38	49	57	10	10	22	14	13
Michael_Ciani	8558	193.04	194	75	38	33	76	58	25	39	22	50	62	54	61	66	51	66	54	70	80	67	91	41	77	76	46	43	34	76	77	75	13	9	18	9	16
Guilherme_Siqueira	10267	182.88	168	72	78	53	58	65	39	76	75	61	68	75	75	75	73	74	54	66	70	79	68	58	75	72	59	59	71	60	64	68	6	10	14	10	13
Enzo_Perez	10267	177.8	157	78	73	70	59	79	71	81	75	69	73	82	83	78	79	81	78	75	70	85	73	73	81	73	77	80	76	70	74	77	9	11	7	15	13
Razvan_Rat	8370	177.8	159	73	78	49	69	72	56	63	64	64	73	67	73	77	70	72	71	67	67	80	72	61	63	74	64	60	52	72	75	73	9	13	16	16	9
Adrian_Gonzalez	8372	182.88	168	72	71	61	53	76	54	72	75	71	71	75	70	70	73	67	65	57	55	69	61	59	55	59	64	72	69	48	49	40	6	15	22	8	9
Luis_Suarez	8634	182.88	187	85	76	86	72	79	83	88	84	81	62	86	85	78	84	86	78	82	69	84	75	81	76	44	85	83	83	30	42	38	24	24	34	31	34
Antonio_Adan	8603	190.5	203	66	21	21	23	30	19	20	21	21	28	21	51	53	54	56	53	29	67	33	71	21	38	27	25	29	26	21	20	20	66	71	60	63	70
Pedro_Mosquera	9783	182.88	170	65	57	48	53	74	44	61	70	67	71	68	64	59	65	62	59	54	60	69	62	49	51	57	62	72	53	48	56	47	7	15	17	14	11
Francisco_Casilla	8633	190.5	185	69	18	16	16	29	15	15	16	19	27	20	35	47	47	64	53	20	61	44	74	15	43	24	18	36	24	16	17	13	68	72	64	71	69
Carl_Medjani	8581	182.88	170	69	45	39	70	55	27	46	38	54	56	57	55	59	51	65	58	58	76	66	75	55	74	69	47	45	60	67	70	70	13	15	14	12	13
Daniel_Carrico	8302	180.34	176	75	62	49	77	71	51	60	47	51	69	67	67	69	65	70	71	62	86	74	76	51	80	77	58	63	63	73	78	76	11	12	25	16	14
Benoit_Tremoulinas	8302	172.72	143	75	78	51	63	77	52	70	82	57	71	75	81	82	80	78	76	66	70	81	63	60	70	70	65	77	69	73	74	78	4	16	24	16	11
Esteban_Granero	8560	180.34	165	73	71	62	55	78	40	67	78	71	78	77	65	64	65	73	70	70	59	66	68	66	64	66	70	78	66	54	64	54	8	14	24	13	14
Filipe_Luis	9906	182.88	170	76	79	57	63	71	55	73	71	72	72	78	76	81	73	78	63	66	62	82	71	60	70	76	66	71	63	77	76	80	9	15	20	10	7
David_Barral	7878	182.88	172	73	59	71	71	63	69	74	67	62	53	72	76	76	75	73	70	81	76	71	70	67	82	41	77	62	73	31	41	28	11	12	14	11	16
Miguel_Torres	9864	182.88	163	70	65	20	62	62	28	54	53	56	55	67	67	66	56	69	64	48	67	73	69	45	69	74	52	53	41	72	75	74	7	13	20	13	11
Felipe_Caicedo	8558	182.88	185	70	56	71	64	64	68	70	59	61	49	70	69	73	64	68	67	76	71	64	82	61	71	38	70	64	65	35	41	36	7	14	20	11	13
Weligton	9864	185.42	157	75	41	32	62	62	19	47	52	39	50	56	59	67	57	74	55	56	72	69	79	28	86	75	40	52	37	79	79	80	7	11	21	9	8
Bruno_Soriano	10205	182.88	161	78	61	60	61	83	50	71	66	61	79	78	61	63	63	79	66	75	68	78	73	66	74	82	71	82	64	66	78	80	12	11	20	12	10
Piti	7878	177.8	174	72	69	70	51	69	68	73	74	72	65	74	72	69	73	77	70	86	62	73	59	77	65	42	75	69	74	30	36	30	10	15	19	14	9
Mikel_Rico	8315	177.8	168	71	52	62	56	75	53	60	50	57	71	68	66	65	67	77	71	73	78	83	73	62	69	74	66	69	56	53	74	65	13	8	15	10	9
Adrian_Lopez	10205	182.88	161	76	62	75	71	69	72	83	61	56	53	82	82	78	79	76	67	73	73	71	69	71	62	37	77	70	69	21	21	18	11	15	17	8	16
Benat_Etxebarria	8315	175.26	159	77	71	68	46	82	58	70	80	83	83	78	68	65	71	75	76	85	65	76	68	80	78	70	74	81	67	59	72	61	15	9	13	5	12
Nordin_Amrabat	9864	177.8	170	76	74	71	55	72	58	82	74	67	66	78	86	86	87	72	74	73	58	74	70	69	63	35	72	63	69	28	40	29	10	14	13	8	13
Imanol_Agirretxe	8560	187.96	170	72	51	76	81	59	75	67	70	49	47	77	58	63	62	73	57	67	70	66	77	61	57	39	81	58	63	43	41	32	13	10	14	8	16
Pablo_Piatti	10267	162.56	139	77	73	72	72	75	70	82	76	57	57	80	88	85	87	69	86	67	80	70	44	70	53	42	76	73	58	26	27	26	10	10	19	10	12
Roberto_Lago	8305	177.8	168	68	67	37	50	60	47	59	67	46	60	70	74	76	73	66	68	68	79	82	69	51	72	68	54	56	48	64	66	73	13	14	21	16	10
Jean-Sylvain_Babin	7878	182.88	185	69	35	19	73	61	24	29	46	56	51	50	50	58	40	54	53	81	88	82	91	56	70	66	47	54	37	59	76	63	14	9	15	7	6
Nabil_El_Zhar	8306	175.26	146	72	72	63	45	67	59	81	63	57	62	76	83	80	81	68	77	71	64	66	58	68	54	34	64	67	64	25	30	32	7	11	21	9	14
Javi_Guerra	8370	177.8	170	71	49	75	73	63	74	68	53	46	52	67	72	75	72	71	67	74	80	72	72	58	55	36	73	53	57	32	33	40	13	12	16	13	15
Pape_Kouli_Diop	8558	180.34	161	74	58	52	64	73	64	62	69	66	71	71	67	69	72	75	70	77	83	79	84	64	82	81	59	71	60	61	81	73	7	8	13	14	16
Alberto_De_la_Bella	8560	182.88	181	72	75	42	60	67	31	63	71	36	67	72	76	76	78	68	70	53	72	81	70	56	69	73	56	61	50	71	71	73	15	12	15	13	9
Fabian_Orellana	9910	170.18	154	75	69	67	62	67	60	84	80	73	55	81	85	80	88	76	78	61	71	64	47	72	53	34	71	72	69	21	35	24	11	8	20	16	15
Marcelo_Diaz	9910	165.1	139	71	69	51	63	78	59	63	73	72	74	78	70	67	77	62	88	76	81	82	48	72	72	76	56	70	67	70	65	68	5	5	7	6	10
Jackson_Martinez	9906	185.42	187	80	59	83	83	69	81	76	68	38	62	77	79	83	80	78	70	81	84	82	84	69	76	44	81	70	72	25	43	30	14	6	15	15	15
Keylor_Navas	8633	185.42	172	75	16	18	18	32	15	18	16	18	38	27	57	54	70	72	58	37	81	45	64	17	33	22	19	38	29	17	20	20	81	68	66	71	82
Celso_Borges	9783	182.88	181	73	58	66	73	76	74	64	72	71	75	77	68	70	72	74	69	81	70	82	79	74	66	61	76	78	58	54	52	49	8	15	12	8	12
Victor_Alvarez	8558	177.8	152	66	70	32	52	60	31	59	66	57	56	69	75	75	73	64	67	53	66	73	62	56	64	66	52	56	43	68	64	65	8	8	5	5	6
Diego_Godin	9906	185.42	161	80	55	42	83	72	49	54	49	50	66	65	67	70	63	79	65	66	83	75	77	44	81	80	53	57	52	82	80	87	7	11	25	9	16
Gonzalo_Castro	9864	175.26	154	72	72	66	56	67	61	77	69	54	57	76	77	74	76	75	76	67	65	63	56	71	49	47	69	68	58	27	42	34	9	17	25	13	15
Bojan_Jokic	10205	175.26	165	72	77	51	66	71	58	64	72	58	69	71	74	74	70	74	77	66	72	73	72	60	78	72	61	57	51	73	71	73	14	15	26	9	14
Abdoul_Karim_Yoda	8305	182.88	161	63	60	47	49	65	45	63	51	53	54	66	75	75	71	56	61	59	68	71	64	46	62	43	57	53	50	50	54	47	11	16	20	12	8
Nikos_Karabelas	8581	180.34	154	70	65	26	47	57	30	57	43	24	57	64	75	76	70	68	70	48	71	75	73	33	77	70	49	54	36	71	75	75	10	12	11	10	12
Javi_Varas	8306	182.88	163	71	21	19	19	20	16	19	16	15	30	19	51	62	64	65	58	22	71	49	59	19	31	28	18	35	29	18	18	16	74	68	64	67	77
Augusto_Fernandez	9910	177.8	157	75	73	72	54	72	51	73	64	59	74	78	69	74	74	78	63	62	58	66	62	68	34	49	76	81	52	34	46	53	8	12	13	15	8
Daniel_Wass	9910	180.34	163	72	74	58	64	72	53	70	60	66	65	72	77	78	77	72	66	77	62	76	64	63	66	72	69	68	57	65	71	71	9	10	13	14	14
Javi_Fuego	10267	182.88	163	73	57	54	51	73	50	60	68	67	71	70	66	63	64	74	59	69	65	78	71	62	77	75	62	70	59	64	72	66	6	14	25	11	14
Roberto_Canella	9869	180.34	161	70	70	47	54	64	48	63	70	58	65	69	77	79	78	72	72	59	75	82	73	55	69	70	59	58	57	64	68	76	11	12	25	10	16
Artiles_Oliva_Aythami	8306	182.88	172	66	46	37	66	65	45	41	42	42	64	53	51	55	54	61	58	36	69	67	72	38	67	66	48	48	41	68	70	64	5	14	21	11	12
David_Garcia	8306	182.88	181	65	50	43	59	53	50	48	47	48	52	59	59	59	57	58	59	54	69	66	69	26	75	61	44	41	47	64	70	64	9	16	22	15	10
Nauzet_Aleman	8306	180.34	165	67	74	59	43	65	58	67	72	68	67	71	67	69	74	65	66	78	52	70	58	68	71	53	64	68	65	36	43	40	12	14	20	16	10
Roberto_Trashorras	8370	177.8	157	72	72	62	53	79	59	72	84	81	80	74	53	51	53	73	63	69	40	63	67	71	74	59	64	80	64	49	58	42	13	14	28	9	17
Pedro_Leon	8305	182.88	161	75	82	68	53	77	69	77	83	76	80	75	70	71	66	69	70	74	43	62	59	70	54	47	69	78	67	33	44	40	8	13	23	15	16
Daniel_Parejo	10267	180.34	165	77	75	65	57	86	65	75	82	79	81	81	64	64	68	72	70	73	59	72	71	75	67	66	73	83	72	52	58	57	4	11	22	15	10
Alvaro_Negredo	10267	185.42	190	79	52	81	81	71	81	74	66	68	60	79	68	72	63	77	58	84	78	70	84	75	74	39	80	64	76	24	31	24	11	8	18	9	14
Carlos_Vela	8560	177.8	165	79	71	78	64	76	80	83	78	67	65	82	85	84	85	75	78	71	68	67	66	76	56	42	77	76	70	17	20	17	8	15	20	14	12
Duje_Cop	9864	182.88	161	70	52	74	64	69	65	66	68	62	58	73	66	67	71	77	65	68	57	69	67	68	68	21	73	65	59	21	27	29	11	11	15	12	11
Adil_Rami	8302	190.5	194	78	43	41	78	62	49	50	43	57	68	63	60	64	59	67	61	70	77	69	87	51	80	79	36	49	53	81	83	80	7	12	16	8	6
Antonio_Rukavina	10205	177.8	163	72	69	32	59	66	48	60	54	36	63	65	75	77	69	76	71	59	77	83	69	48	77	74	60	59	44	71	74	72	5	8	22	10	9
