S1	S2	S3	S4	S5	S6
  3.1575033e-001  1.1152075e+000  1.7366229e+000  1.5037554e+000  6.3014736e+000  4.8569340e+000
  3.5447982e-001  2.9223810e+000  8.8741593e-001  1.3911594e-001  6.3367811e+000  2.1484331e+000
  6.8892369e-001  1.3202501e+000  6.2717276e-001  2.9533215e+000  1.0892092e+001  1.0643358e+000
  8.6458316e-001  1.3578911e+000  7.1843504e-001  2.7549704e-001  4.0142818e+000  1.5483057e+000
  5.1704545e-001  5.3653255e+000  1.0075762e+000  1.2949634e+000  3.5390218e+000  5.1161655e+000
  8.4147665e-001  1.9878591e+000  7.8567615e-001  5.9597050e-001  8.7202381e+000  1.4763346e+000
  7.0334158e-001  9.8720068e+000  1.2604763e+000  7.3993801e-001  6.7681010e+000  2.0027654e+000
  9.1968261e-001  5.7940602e-003  1.1334043e+000  6.9796235e+000  8.1622623e+000  1.0169405e+000
  6.2647510e-001  4.4309941e+000  1.9773413e+000  1.4638533e+000  4.8665535e+000  1.6529682e+000
  9.0772983e-001  3.0602941e+000  1.5907231e+000  3.1014096e+000  3.2145635e+000  4.7924904e+000
  4.8006212e-001  1.7224827e+000  1.2183373e+000  3.6829285e+000  6.4860828e+000  1.1191892e+000
  8.8001390e-001  1.9392893e+000  1.0017379e+000  1.7004739e+001  3.7288784e+000  2.7691246e+000
  3.8577688e-001  4.2740922e+000  9.8758910e-001  4.5319750e-001  3.2504938e+000  2.4342540e+000
  6.4528406e-001  5.2518580e+000  1.2752196e+000  1.2156396e+000  7.9434558e+000  3.1287567e+000
  9.0111535e-001  7.1446198e-001  1.2347103e+000  1.0269834e+000  3.4589665e+000  4.6338706e+000
  3.8302392e-001  2.0775849e+000  1.1763803e+000  1.8509400e+000  1.6739907e+000  1.8018813e+000
  8.7401026e-001  2.9335293e-001  1.3130577e+000  1.8387176e+000  1.3150219e+001 -1.4759815e+000
  7.7877388e-001  5.3933070e-001  1.2419876e+000  6.6781575e-001  1.9465383e+000  4.5135231e+000
  7.8642846e-001  4.2055481e+000  1.8619065e+000  1.1194760e-001  5.7219409e+000  2.8465155e+000
  9.3608157e-001  7.0126667e-001  1.2637070e+000  1.5020375e+000  2.9555993e+000  1.4450035e+000
  7.2641375e-001  6.2816155e+000  8.1528773e-001  2.8659799e+000  2.1269460e+000  3.2400566e+000
  4.0585472e-001  6.8082073e-001  1.5703510e+000  3.2315724e+000  8.6460086e-001  1.9982873e+000
  6.0558872e-001  2.4982496e+000  1.3770131e+000  2.5756579e-001  5.0601926e+000  5.2533954e-001
  5.3427281e-001  5.4423724e+000  1.2443186e+000  1.8096981e+000  3.1514259e+000  1.4803404e+000
  8.5082470e-001  6.7133974e+000  9.6708934e-001  4.8581232e+000  1.6561886e+000  3.4084313e+000
  3.6693780e-001  1.2853876e+000  1.0917318e+000  2.2386697e-001  5.8917143e+000  5.0828245e+000
  7.2835118e-001  2.1617639e+000  9.4461912e-001  8.6410119e-001  9.1735311e+000  3.2474420e+000
  8.9022610e-001  4.1224791e-001  1.0399665e+000  1.0636142e+000  2.5310971e+000  4.1450941e+000
  8.9379999e-001  1.6183273e+000  1.2257587e+000  5.5770335e-001  2.5620264e+000  1.2158805e+000
  9.5015268e-001  2.3476876e+000  1.5614891e+000  4.9676426e+000  5.0390174e+000  1.8736913e+000
  8.3410289e-001  2.5032989e-001  1.9060787e+000  1.1947407e+000  6.3447574e+000  1.4009141e+000
  7.2414806e-001  2.6439198e+000  1.8090557e+000  2.2826737e+000  4.1061578e+000  1.5688700e+000
  4.9064981e-001  4.1068654e-001  1.1629692e+000  2.3752024e+000  2.5454923e+000  1.2871949e-001
  3.6391824e-001  1.7521144e+000  1.6758157e+000  1.7707785e+000  9.8168264e+000  4.0807747e-001
  9.8412300e-001  9.8561049e-001  1.3854287e+000  1.1535142e+001  3.7817066e+000  8.7782894e-001
  9.9530732e-001  2.9835336e+000  6.4127381e-001  1.1147532e+000  8.8744009e+000  1.0214895e+000
  9.0587325e-001  2.2540244e+000  1.6490565e+000  1.9401176e+000  4.5020635e+000  5.1192245e+000
  9.2547255e-001  1.2118746e+000  1.1752795e+000  4.1826235e+000  1.9316186e+000  1.7658926e+000
  3.8668171e-001  6.7080830e+000  1.0443986e+000  3.7545872e+000  3.2161271e+000  6.0861219e+000
  7.5665444e-001  2.7400632e+000  1.6316366e+000  7.3763662e-002  5.9654356e+000  3.3888477e+000
  6.7577866e-001  1.1373908e+000  9.3020483e-001  1.5646073e+000  5.7779341e+000  2.1347017e+000
  8.6875890e-001  2.3394216e+000  1.2854643e+000  4.8395786e-001  4.0059856e+000  2.5262741e+000
  7.7587509e-001  3.0786296e+000  1.1870781e+000  7.3449651e-001  3.1877371e+000 -1.6659676e+000
  7.2419737e-001  6.2453572e+000  1.2716548e+000  1.2378388e-001  2.9648270e+000  4.1048661e+000
  5.4858408e-001  1.8662144e+001  1.2466497e+000  7.8094411e-003  3.3695061e+000  3.0901029e+000
  5.5066352e-001  3.5963237e+000  1.2779580e+000  9.3064332e+000  2.4853827e-001  2.3128058e-001
  8.0890884e-001  1.7896613e-001  9.6392331e-001  2.3642762e-001  5.5333171e+000  1.1888231e+000
  5.1646995e-001  4.9168594e+000  1.8568882e+000  9.3427904e-002  6.3162780e+000  3.1292012e+000
  6.5409800e-001  3.3501936e+000  1.6625468e+000  3.6381214e-001  2.2161319e+000  3.4018731e-001
  2.8401248e-001  1.8984417e+000  1.8925867e+000  3.5305055e+000  3.5834983e+000  1.7105321e+000
  4.3472059e-001  3.1571356e+000  9.7727623e-001  5.7362254e+000  3.4380664e+000  5.0628417e-001
  7.8644911e-001  1.6721959e+000  1.2692762e+000  4.5853660e-001  7.2742593e+000 -9.9099411e-001
  9.5463447e-001  3.8732716e-001  9.3124828e-001  5.3913681e-001  6.0119340e+000  1.9989518e+000
  9.1566951e-001  2.0120452e+000  1.3622548e+000  4.5692829e-001  1.3629200e+000  2.6486983e+000
  8.0995316e-001  1.6379839e+000  1.2369698e+000  7.3269560e+000  2.3265986e+000 -8.9357204e-001
  8.9695889e-001  2.5197630e+000  8.2790454e-001  2.3639413e+000  4.6844539e+000 -4.3927119e-001
  4.5686473e-001  1.8459718e+000  7.9640515e-001  4.9587371e+000  1.4998836e+001 -1.3743883e+000
  9.1276676e-001  1.6792478e-001  1.4987814e+000  5.4549083e-001  4.9518551e+000  4.8895707e+000
  5.9892172e-001  7.2612226e+000  7.5580422e-001  2.9947329e+000  3.7083678e+000 -1.5650469e+000
  5.7397552e-001  5.7457921e+000  1.3025214e+000  1.5797215e+000  1.4206004e+000  3.3241457e-001
  4.3004311e-001  1.4665853e+000  1.2865472e+000  1.5748622e+000  3.9784708e+000  3.1025440e+000
  6.0471204e-001  7.3584215e+000  9.3315224e-001  3.3250453e-001  2.7667230e+000  1.3641641e-001
  7.9704953e-001  1.2297451e+000  1.4585162e+000  1.0004749e-001  4.0564933e+000  3.2130598e+000
  5.3098923e-001  4.0069220e+000  1.1371678e+000  3.7441692e+000  3.5169332e+000  3.4972852e+000
  6.0112132e-001  1.5172514e+000  9.7925790e-001  7.0402856e+000  4.0914072e+000  3.6442507e+000
  7.0972206e-001  6.7092539e-001  1.0785395e+000  3.3277956e-001  4.1185441e+000  2.3350232e+000
  9.4372046e-001  1.0059844e-001  8.5299894e-001  5.1866573e+000  3.1965537e+000  1.9672992e+000
  9.2281876e-001  2.3455674e+000  1.1274719e+000  1.4377194e+000  2.6717700e+000  3.6026309e+000
  5.3617287e-001  1.3324260e+001  1.4326171e+000  1.0391227e+000  2.1529825e+000 -5.0694771e-001
  5.3510054e-001  4.9250458e+000  1.2505119e+000  6.6922788e-001  7.9586465e+000 -4.9817001e-001
  8.7103350e-001  1.6211256e+000  1.3597496e+000  4.5610275e+000  6.3859809e+000  1.1188129e+000
  8.6053895e-001  8.7036894e+000  1.7941956e+000  4.9949021e-001  5.2523021e+000  4.7003226e+000
  9.7680454e-001  3.3750788e-001  1.0473515e+000  7.1634028e-002  5.6430191e+000  5.1223453e+000
  6.3544590e-001  1.7099920e-001  8.5345618e-001  1.5328357e+000  1.7150127e+000  3.5001577e+000
  8.9441167e-001  1.4685829e+000  9.8608917e-001  3.3074217e+000  2.8477437e-001  6.8574470e-001
  5.2670525e-001  3.7225892e-001  1.0808988e+000  8.4954450e+000  4.4372984e+000  3.5821438e+000
  9.3532817e-001  1.2552318e+001  9.9859792e-001  8.4454274e-001  4.4050198e+000  3.7379926e+000
  9.8539722e-001  2.9229398e+000  9.1761161e-001  8.9592750e-001  3.6226530e+000  6.5838647e-001
  7.0965390e-001  5.4542434e+000  1.3851797e+000  1.6954883e-001  3.2951846e+000  2.6559211e+000
  7.1677051e-001  3.2434012e+000  9.5416200e-001  2.8430970e-001  2.7489304e-001  3.7169226e+000
  5.4383599e-001  2.1430222e+000  7.6035616e-001  9.7683237e-003  2.3473010e+000 -7.9913862e-002
  9.0867329e-001  1.5497437e+000  1.0553960e+000  6.2397738e-002  1.2561110e+000  3.0460730e+000
  8.5955225e-001  1.0375319e+000  1.4157270e+000  1.1157285e+000  3.8804055e+000  3.2334069e+000
  5.4198656e-001  4.7850475e-001  1.4961980e+000  7.9879257e+000  1.5963424e+000  1.4272524e+000
  8.9257428e-001  2.1956252e+000  1.6790350e+000  2.7015236e-001  3.6421255e+000 -7.2757236e-001
  9.3088647e-001  2.0788377e+000  1.2991336e+000  1.6529000e+000  7.2619615e+000  3.1343781e+000
  3.6655657e-001  5.0149298e-001  7.6166017e-001  1.1495203e+001  8.9363827e-001  7.7782414e-001
  7.6810084e-001  9.2473572e-001  1.1297856e+000  3.5585615e+000  5.1380539e+000  1.5767997e-001
  6.7568433e-001  4.3058443e-001  1.2127129e+000  2.5420313e+000  6.7653300e+000  4.5476201e+000
  6.7597096e-001  3.0337070e+000  1.0594805e+000  3.2695649e-001  3.6779398e+000  7.5979978e-001
  5.7952747e-001  3.2796743e-001  1.5270198e+000  7.3388458e-001  1.4683619e+000  2.4467986e+000
  9.2586499e-001  2.3344263e+000  9.8328333e-001  6.9165997e-003  7.1656601e+000  3.3758482e+000
  8.2969909e-001  6.3436537e-001  1.5106103e+000  7.9899853e-001  3.0024371e+000  1.6686586e+000
  7.7300681e-001  1.6491236e+000  1.3971941e+000  2.0048694e-002  5.3167784e+000  1.6460588e+000
  5.5019067e-001  2.4692690e+000  1.3904692e+000  1.4502038e+000  3.5371948e+000  4.3717035e+000
  7.1841485e-001  1.3380420e+001  8.9621693e-001  2.9598413e+000  1.9013187e+000  2.8460421e+000
  7.3202626e-001  3.2964415e+000  9.7644591e-001  3.7542379e+000  2.3694734e+000  2.8523361e-001
  8.6152915e-001  1.9828602e-003  9.2307703e-001  7.1238404e-001  2.3119135e+000  4.8485800e+000
  6.5511164e-001  7.1461715e+000  6.9121145e-001  1.7403972e+001  1.2286871e+001  3.4072502e+000
  9.6236579e-001  4.1774324e+000  8.1332701e-001  2.0345766e-001  4.1379954e+000  9.9986507e-001
  7.8705320e-001  7.0281434e+000  1.1228022e+000  7.5893127e-001  2.4598761e+000 -1.1200725e+000
  7.6249357e-001  8.4350072e-002  1.3991217e+000  2.8294338e-001  4.0831225e+000  1.6078005e+000
  6.1368773e-001  2.3672944e+000  8.2234184e-001  6.7423395e-001  4.8861523e+000  3.8518072e+000
  5.6468520e-001  5.3842480e-001  1.2261294e+000  1.0671930e+000  3.3451069e+000 -7.7487928e-001
  6.7418346e-001  3.2101743e-001  1.2576704e+000  6.8511177e-001  1.0039113e+000  4.3864165e+000
  9.4769616e-001  7.6685179e-001  9.1933395e-001  1.5423351e+000  4.6963198e+000  2.0120667e+000
  9.2442007e-001  7.7153206e-001  1.3778019e+000  8.3110616e-001  2.6860804e+000  2.8480896e+000
  4.8367477e-001  1.7136235e-001  1.0938340e+000  4.2484923e-001  1.0084006e+001  1.1812787e+000
  6.5978283e-001  5.7700636e+000  1.1758361e+000  6.7620998e-001  4.8124082e+000  2.9330322e+000
  7.2582554e-001  6.2069642e-001  1.9097031e+000  1.3642782e+000  5.0354378e+000  2.4401317e-001
  8.7109031e-001  1.6930776e+000  1.4198956e+000  2.6031615e-001  2.9571908e+000  5.2261051e+000
  6.3555827e-001  1.2718159e+000  8.4368520e-001  3.0030475e+000  5.5088526e+000  3.0719355e+000
  5.4465516e-001  5.8426534e+000  9.7515762e-001  3.6898863e+000  1.9391462e+000  2.7778372e+000
  8.1098765e-001  4.7784937e-001  9.3268015e-001  3.4382413e-001  1.1586750e+000  1.9183998e+000
  6.6274135e-001  9.8847192e-001  1.6101301e+000  6.4986965e+000  5.1017266e+000  4.0975870e+000
  9.7422170e-001  5.1114315e-001  1.5783688e+000  3.5191416e-001  8.3157010e+000  2.6209883e+000
  8.2103368e-001  6.2055921e+000  9.4931435e-001  1.4838534e+000  4.8147338e+000  2.0817365e+000
  8.9426153e-001  2.7345589e+000  1.5616785e+000  5.3814249e-002  7.6950260e-001  3.2876361e+000
  7.4577296e-001  2.5894641e+000  1.0615703e+000  3.7900925e-001  3.6642145e+000  4.0903467e-001
  9.3326015e-001  2.1993315e+000  1.3149317e+000  3.2059152e-001  6.8475602e+000 -2.3808767e+000
  5.2944659e-001  4.1384010e-001  9.2317064e-001  1.2529760e+000  3.1203592e+000  4.9596427e+000
  8.3280366e-001  2.4911478e+000  1.1184028e+000  5.1366048e-001  5.1326309e+000  3.0537420e+000
  3.1089537e-001  2.2885717e+000  1.7964651e+000  2.1650442e+000  5.5454832e+000 -1.2590041e+000
  1.0759324e-001  1.0114308e+000  1.1460406e+000  1.3400114e-001  6.3214026e-001  1.8523347e+000
  8.7492170e-001  3.6653868e-001  1.2004038e+000  1.6191020e-002  1.8913900e+000  3.3488395e+000
  7.1603312e-001  6.2589072e+000  1.0775781e+000  2.4103295e+000  1.4912485e+000  2.3383147e+000
  8.7970856e-001  3.1466497e+000  1.2512685e+000  5.9720706e+000  3.7064019e+000  4.4285001e+000
  8.5033298e-001  1.0836537e+000  1.2119467e+000  2.4214233e-001  1.1135705e+000 -2.2079574e+000
  9.6307183e-001  6.9186045e-001  1.2091450e+000  4.7094087e+000  4.9474049e+000  2.8424286e+000
  6.5341049e-001  1.0132199e+000  8.9693966e-001  1.4447867e+000  6.5160299e-001  1.7509269e+000
  2.7148709e-001  1.3180139e+000  1.3327844e+000  2.0430760e+000  5.1562574e+000  3.8575679e+000
  8.0593823e-001  1.3095674e+000  1.0547205e+000  1.7608889e-001  3.0199597e+000  3.0211930e+000
  5.7379062e-001  3.8068997e+000  1.1084901e+000  1.1730924e+001  3.6420796e+000  2.1538088e-001
  7.7137537e-001  1.4314767e+000  9.3049952e-001  4.9828934e+000  4.7137988e+000  1.9992802e+000
  6.8107907e-001  1.2366153e+000  1.4270048e+000  1.2928253e+000  1.6852429e+000  2.3338087e+000
  3.2940956e-001  4.6492966e+000  1.6815711e+000  4.2091785e-001  6.4177381e+000  1.8193133e+000
  8.2160103e-001  3.7338340e+000  1.0144462e+000  5.4081868e+000  5.6270923e+000  1.8699677e+000
  6.1715369e-001  1.2209009e+000  1.4745540e+000  4.2090125e+000  3.5369846e+000  1.2536677e+000
  9.2614737e-001  4.0582073e-001  1.1217594e+000  1.0934926e+000  4.9454125e-001  1.1142825e+000
  6.4581733e-001  1.8316725e+000  2.0891208e+000  1.9743485e+000  7.2265031e+000  3.3626468e+000
  5.5595896e-001  3.3881907e+000  1.1912080e+000  7.5999300e+000  2.6079400e+000  3.2731924e+000
  4.2204680e-001  2.8328453e+000  9.1780114e-001  5.4819870e-002  6.1576245e+000  2.7758549e+000
  7.4221747e-001  6.7181710e-001  1.2596438e+000  1.9451710e-001  1.1780758e+001  1.4056508e+000
  8.5800122e-001  4.0766418e-001  1.4344381e+000  6.5670130e-001  4.0315367e+000  2.9366778e+000
  9.3413895e-001  4.2555363e+000  1.1374097e+000  2.0189893e-001  3.2003225e+000 -2.5960967e+000
  8.1397587e-001  6.9494561e-001  1.2828925e+000  1.3430529e+001  4.4288512e+000  1.5161814e+000
  8.8665299e-001  4.7497490e+000  1.5063308e+000  2.2869802e+000  5.7775435e+000 -8.7731760e-001
  9.2640993e-001  2.4206793e+000  1.3768216e+000  1.8387453e-001  5.1694980e+000  6.1465414e+000
  5.0725787e-001  5.1421751e+000  8.9607870e-001  9.9808579e-001  5.0705572e+000  1.6706501e-001
  7.7858583e-001  1.1164406e+000  1.2720383e+000  8.1818863e-002  3.8176281e+000  7.9763386e-001
  9.0460555e-001  1.0939884e+000  1.7785512e+000  1.5968187e+000  3.9213602e+000  2.1830210e+000
  5.8206665e-001  7.3130111e+000  9.8003084e-001  2.0591564e+001  3.3838160e+000  1.0639361e+000
  7.4093838e-001  1.1707941e+000  9.1450215e-001  2.9982713e-002  1.6627076e+000  2.4177683e-001
  6.0793098e-001  7.6560430e+000  8.3047826e-001  3.0502647e+000  7.2402956e+000  2.9290156e+000
  8.3561069e-001  1.7519110e-001  2.2614658e+000  4.9846685e+000  4.9176482e+000  2.3724163e+000
  6.5376116e-001  1.2245003e+000  1.0297948e+000  1.8074955e+000  6.7299596e+000 -1.8789499e+000
  5.7827318e-001  1.0674614e+001  8.6708107e-001  9.7184445e-001  4.1587082e+000  2.1608165e+000
  2.2273078e-001  1.4866136e+000  6.5565102e-001  6.4297389e-002  1.7912792e+000  3.1346819e+000
  8.6570521e-001  5.8092944e-002  9.5787405e-001  9.4229090e-001  5.2376076e+000  4.8948523e+000
  6.3036414e-001  2.6856273e+000  1.2345809e+000  4.7124020e-001  1.0003423e+001  1.3255924e-001
  8.4649895e-001  1.9312967e+000  9.7748717e-001  1.3092619e+000  1.3112939e+001  2.0430777e+000
  9.7543453e-001  1.2578317e+000  8.6488609e-001  8.1668041e+000  3.5158054e+000  9.0988760e-001
  7.9029671e-001  8.7267721e-001  1.1122011e+000  1.0033590e-002  2.2895438e+000  4.2880651e+000
  3.0597613e-001  4.2029656e+000  1.0263618e+000  3.4468065e+000  7.9699671e+000  3.1418857e+000
  7.7379972e-001  9.3007505e-001  1.5388636e+000  5.1106231e-001  5.3735614e+000 -1.6416204e+000
  4.5453958e-001  1.9897887e+000  7.3621601e-001  3.6375405e-001  1.1670420e+001  1.3061471e+000
  9.6042599e-001  5.9430861e+000  1.2067873e+000  3.9421438e-001  6.9675117e+000  4.5813512e+000
  4.6442727e-001  4.1620653e+000  1.1423126e+000  5.7901494e-002  2.8391857e+000  1.0123463e+000
  6.8896088e-001  2.0616203e+000  1.0405944e+000  1.0109987e+001  2.4438494e+000  5.3516680e+000
  8.3598916e-001  9.2593346e-001  8.4441731e-001  2.0431441e-001  1.0004442e+001  4.6660075e+000
  7.9260900e-001  8.1254256e+000  1.2506415e+000  5.3083499e-001  2.4391002e+000  4.9074970e-002
  8.1793771e-001  1.1951474e+000  7.6194389e-001  3.9674588e-001  6.9043437e+000  3.7858747e+000
  9.5202855e-001  2.3218290e+000  1.4126119e+000  1.3045616e+000  3.5994367e+000  1.2504359e+000
  8.3553695e-001  4.0727777e+000  1.5748047e+000  2.8536591e-002  5.4150026e+000  3.5609571e-001
  3.3467453e-001  8.3775742e-001  9.0542072e-001  6.8359515e+000  4.9570565e+000  2.9875231e-001
  8.4925103e-001  1.2372537e+001  1.4555384e+000  5.2789315e-002  1.6291918e+000  3.8155042e+000
  7.5957198e-001  9.8715696e+000  1.2912795e+000  1.9668756e+000  1.6262335e+000  7.9268609e-001
  9.7257941e-001  1.6410875e+000  1.2620650e+000  3.9850533e+000  5.0812632e+000  3.2991030e+000
  7.1599500e-001  7.1288828e+000  1.1919527e+000  4.7278585e+000  2.6861387e+000  2.1002270e+000
  8.6573861e-001  5.0109759e+000  6.3267989e-001  2.0387951e-001  7.6026029e+000  2.2234708e-001
  6.2893387e-001  2.9692615e+000  1.5557488e+000  2.3161730e+000  2.9798382e+000  2.1972092e+000
  7.0129461e-001  6.2153468e-001  7.7979049e-001  2.9536412e-001  7.0634128e+000  1.1536010e+000
  6.0182355e-001  2.3094933e+000  1.0857621e+000  7.2264155e+000  9.4547757e+000  3.4266010e+000
  8.0691383e-001  4.2648224e+000  8.0015276e-001  5.9068698e+000  3.3998226e+000 -5.6117141e-001
  7.3365051e-001  7.9081322e-001  8.9807038e-001  8.0652025e-001  5.9196880e+000  1.6128725e+000
  6.7470769e-001  1.4819721e+000  8.4489530e-001  1.2390668e+000  1.5313173e+000  4.1689584e+000
  2.9041246e-001  8.1443516e-001  1.3503702e+000  6.5388480e-001  9.5927393e+000  4.5552782e+000
  2.4031951e-001  2.6510498e+000  7.5434089e-001  9.4210465e+000  9.1498736e+000  2.0724031e-001
  7.4546643e-001  3.2835819e+000  6.2819488e-001  2.9942384e-001  1.1236881e+001  4.4141571e+000
  9.2813985e-001  1.3305211e+000  1.2111087e+000  7.5318897e+000  1.7634532e+000  2.9560633e+000
  7.5924521e-001  7.4776288e-001  1.1791354e+000  1.5775240e+000  1.7805070e+000  2.9371097e-001
  5.7599823e-001  5.2227002e+000  1.3302018e+000  2.3610849e+000  1.7144978e+001  2.0221404e-001
  7.8058164e-001  1.8715210e+000  9.0716661e-001  7.2195146e-001  3.2431019e+000  3.3296850e-001
  9.2037235e-001  3.0726931e+000  1.7589891e+000  4.7016058e+000  9.5462896e+000  4.1717763e-001
  3.7848535e-001  3.2209307e+000  8.5549669e-001  1.9605312e-002  5.9939758e+000  2.3490153e+000
  6.2761432e-001  1.3325251e-001  9.8993587e-001  3.9358890e+000  7.6618558e+000  5.1912585e+000
  9.5523769e-001  3.4836302e+000  1.0863289e+000  3.1200659e+000  3.0809150e+000  4.4283235e+000
  3.8006210e-001  3.5017020e-001  1.2005719e+000  4.9892384e+000  2.8327600e+000  2.8251568e+000
  3.5803266e-001  8.7363088e+000  1.4817585e+000  1.3923145e+000  6.9014275e+000  5.8365851e-001
  7.9401476e-001  3.7716640e-001  7.7680465e-001  1.2455581e+001  8.4453843e+000 -8.1237442e-001
  8.9153726e-001  1.2979539e+000  9.2870284e-001  6.4160486e-001  2.8320283e+000  1.1479777e+000
  3.7902547e-001  2.3416760e+000  1.3159260e+000  2.8887146e+000  1.1063768e+001  1.5448389e+000
  8.2590338e-001  2.0264782e+000  1.1212739e+000  1.7617512e+000  2.6104084e+000  5.1747413e+000
  7.8629299e-001  9.8673792e-001  1.5134833e+000  8.3391362e+000  2.8700175e+000  7.0190654e-001
  7.4658004e-001  4.3368847e+000  1.9967617e+000  6.8911141e-002  4.0014560e+000  3.6082472e+000
  9.2204034e-001  2.1953540e-001  1.2939789e+000  6.1190085e-002  5.2926243e+000  1.6300328e+000
  8.7899824e-001  9.4910689e-001  1.1456608e+000  2.6155506e+000  6.6691930e+000  1.2352004e+000
  9.1258815e-001  5.5556568e-001  1.0131548e+000  1.6403435e+000  3.5965807e+000  6.1925672e-001
  5.6599701e-001  1.0437404e-001  8.9462093e-001  3.2888054e-003  1.8665078e+000  4.4634472e+000
  5.8832399e-001  4.2073410e+000  1.2230839e+000  8.0998711e-001  1.0428861e+001 -1.0144964e+000
  9.5204933e-001  7.1271077e-001  9.7356298e-001  1.7249637e+001  2.1164125e+000 -1.2476333e+000
  4.9055922e-001  2.3470180e+000  1.1420520e+000  1.6097548e+001  7.0497898e+000  2.6231636e+000
  7.0460440e-001  2.8590555e-001  1.0575912e+000  1.1039734e+000  4.8624053e+000  2.2637019e+000
  8.5398312e-001  1.0570383e-001  8.5495023e-001  3.1438656e+000  7.1187227e+000 -8.4945724e-001
  5.4557403e-001  1.9668018e+000  8.4097274e-001  3.6335871e+000  6.3610593e+000  3.2571894e+000
  2.6815147e-001  2.2479937e+000  7.7204425e-001  5.3569454e+000  5.5913568e+000  4.4543420e-001
  7.3431153e-001  2.9379865e+000  8.3383400e-001  1.6984512e-003  4.4616922e+000  4.1743477e+000
  8.2275558e-001  1.9185865e+000  1.5099278e+000  1.4011458e+000  5.1187459e+000  9.4356905e-001
  8.2369237e-001  2.0435122e+000  9.1153467e-001  5.6807829e-001  3.3014598e-001 -8.4760334e-001
  5.2904365e-001  5.4351862e+000  7.3132134e-001  1.9719111e+000  5.8060401e+000  1.6274398e+000
  6.1777670e-001  6.8906885e+000  9.0793676e-001  1.6940517e-001  4.1342548e+000  1.6928175e+000
  4.9026645e-001  1.7761155e+000  1.2186023e+000  4.1551762e+000  8.2103708e+000 -8.3937433e-001
  9.3703031e-001  1.6875982e+000  1.1250922e+000  6.6949805e+000  1.2599233e+000  3.2553054e+000
  5.4087000e-001  3.4872328e+000  9.2316833e-001  2.2526010e+000  1.2578935e+000  4.9949097e+000
  4.7001504e-001  5.2827187e+000  1.2475768e+000  9.5175778e+000  9.5007086e+000  4.2324827e-001
  4.8852186e-001  9.8805042e-002  1.6711037e+000  4.6009014e+000  3.9291495e+000  2.1204720e+000
  4.0551323e-001  3.2251274e+000  8.8723596e-001  3.8624228e+000  5.5652206e+000  3.5212276e+000
